,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
403,-1.0,-0.9123837,SELL,SELL
404,0.3181818181818182,0.31925064,BUY,BUY
405,1.0,0.9611987,BUY,BUY
406,0.1724137931034483,0.15279071,BUY,BUY
407,0.2,0.19368732,BUY,BUY
408,-1.0,-0.9,SELL,SELL
409,-0.3333333333333333,-0.43547112,SELL,SELL
410,1.0,0.9293416,BUY,BUY
411,-0.9741176470588235,-0.9,SELL,SELL
412,0.08695652173913043,-0.80828905,BUY,SELL
413,0.9934560327198364,0.9,BUY,BUY
414,-0.48936170212765956,-0.4749124,SELL,SELL
415,-0.3333333333333333,-0.32952154,SELL,SELL
416,0.9813623252717995,0.9,BUY,BUY
417,0.9780960404380792,0.9,BUY,BUY
418,0.8564249820531228,0.9,BUY,BUY
419,0.41237113402061853,0.5638782,BUY,BUY
420,0.34545454545454546,0.33970618,BUY,BUY
421,-0.6086956521739131,-0.9,SELL,SELL
422,-1.0,-0.9632516,SELL,SELL
423,-1.0,-0.9092044,SELL,SELL
424,0.3333333333333333,0.3296842,BUY,BUY
425,-0.8461538461538461,-0.94909716,SELL,SELL
426,-1.0,-0.8898659,SELL,SELL
427,0.0,0.005210027,HOLD,BUY
428,-0.9876360039564788,-0.9,SELL,SELL
429,-0.9627391742195368,-0.9,SELL,SELL
430,-0.9574468085106383,-0.9,SELL,SELL
431,-0.015384615384615385,-0.021575943,SELL,SELL
432,-0.3220338983050847,-0.3375225,SELL,SELL
433,-1.0,-0.9,SELL,SELL
434,-0.9237435008665511,-0.9,SELL,SELL
435,-0.42857142857142855,-0.4358902,SELL,SELL
436,-0.8955223880597015,-0.9,SELL,SELL
437,-0.22580645161290322,-0.24547936,SELL,SELL
438,-0.25,-0.26334798,SELL,SELL
439,-1.0,-0.9,SELL,SELL
440,-1.0,-0.9,SELL,SELL
441,0.16328188464662877,0.13542126,BUY,BUY
442,0.9333333333333333,0.9,BUY,BUY
443,0.9884225759768451,0.9,BUY,BUY
444,0.9712092130518234,0.9,BUY,BUY
445,0.9928698752228164,0.9,BUY,BUY
446,-0.8108108108108109,-0.9958997,SELL,SELL
447,-0.10810810810810811,-0.105951324,SELL,SELL
448,-0.9373695198329853,-0.9,SELL,SELL
449,-0.46153846153846156,-0.42409074,SELL,SELL
450,-0.5862068965517241,-0.5942904,SELL,SELL
451,0.3333333333333333,0.4091422,BUY,BUY
452,1.0,0.9,BUY,BUY
453,0.9821996185632549,0.9,BUY,BUY
454,-1.0,-0.8898659,SELL,SELL
455,-0.49019607843137253,-0.4827826,SELL,SELL
456,0.9912280701754386,0.9,BUY,BUY
457,1.0,0.9,BUY,BUY
458,0.6164383561643836,0.57861304,BUY,BUY
459,-0.9708029197080292,-0.9,SELL,SELL
460,0.0,0.009052202,HOLD,BUY
461,1.0,0.91821027,BUY,BUY
462,1.0,0.97375286,BUY,BUY
463,0.375,0.35123813,BUY,BUY
464,-0.01818181818181818,-0.020489112,SELL,SELL
465,0.16279069767441862,0.14413898,BUY,BUY
466,0.9533527696793003,0.9,BUY,BUY
467,1.0,0.9558182,BUY,BUY
468,-0.5,-0.4757738,SELL,SELL
469,0.96,0.9,BUY,BUY
470,-0.3333333333333333,-0.32648724,SELL,SELL
471,1.0,0.9,BUY,BUY
472,-0.7647058823529411,-0.7473049,SELL,SELL
473,-0.5,-0.46633887,SELL,SELL
474,1.0,0.9,BUY,BUY
475,1.0,0.9,BUY,BUY
476,0.9063719115734721,0.9,BUY,BUY
477,0.28751753155680226,-0.21436693,BUY,SELL
478,0.9505801819851407,0.9,BUY,BUY
479,-1.0,-0.9,SELL,SELL
480,-0.8825324180015256,-0.9,SELL,SELL
